"X.month","carrier_name","arrivals","delayed","cancelled","diverted","on_time"
1,"American Airlines Inc.",674814,145272,20331,1477,0.784722901421725
1,"Delta Air Lines Inc.",695243,121390,17911,1147,0.825399176978409
1,"ExpressJet Airlines Inc.",506518,111882,20942,1381,0.779115450981012
1,"SkyWest Airlines Inc.",607772,135363,20572,2203,0.777279966829666
1,"Southwest Airlines Co.",1210569,217518,22398,2601,0.820317553150626
1,"United Air Lines Inc.",491972,106119,11806,746,0.784298699926012
2,"American Airlines Inc.",619227,130082,21221,1218,0.789928410744364
2,"Delta Air Lines Inc.",648736,116757,15369,1088,0.820023861786613
2,"ExpressJet Airlines Inc.",477098,111579,23453,1315,0.766129809808467
2,"SkyWest Airlines Inc.",565109,114741,17446,1482,0.796957755052565
2,"Southwest Airlines Co.",1115653,194838,23851,2239,0.825359677247316
2,"United Air Lines Inc.",462566,94515,11471,648,0.795672401343808
3,"American Airlines Inc.",687383,144617,13150,1894,0.789612195820962
3,"Delta Air Lines Inc.",749869,129487,7905,1247,0.827320505314928
3,"ExpressJet Airlines Inc.",558722,128156,15630,1614,0.770626536989773
3,"SkyWest Airlines Inc.",642426,114147,13850,1436,0.822318835165451
3,"Southwest Airlines Co.",1278043,239102,12368,1953,0.8129155278813
3,"United Air Lines Inc.",525352,107106,7205,857,0.796125264584507
4,"American Airlines Inc.",658162,131257,12549,2103,0.800570376290336
4,"Delta Air Lines Inc.",724824,109232,4221,1226,0.849298588346964
4,"ExpressJet Airlines Inc.",531093,109949,10247,1512,0.792975994788107
4,"SkyWest Airlines Inc.",614150,91703,10315,950,0.850683057884882
4,"Southwest Airlines Co.",1246908,219006,8381,1922,0.824360738723306
4,"United Air Lines Inc.",499375,91413,6101,880,0.816945181476846
5,"American Airlines Inc.",676662,143833,11655,2890,0.787437450307539
5,"Delta Air Lines Inc.",742731,117598,3865,1451,0.841668114027824
5,"ExpressJet Airlines Inc.",543714,114206,12280,1947,0.789952070389948
5,"SkyWest Airlines Inc.",626287,94212,8539,1034,0.849570564294006
5,"Southwest Airlines Co.",1274076,238394,7496,2650,0.812888713075201
5,"United Air Lines Inc.",519413,107760,5751,1562,0.792535034741141
6,"American Airlines Inc.",667393,180428,10877,3256,0.729652543553798
6,"Delta Air Lines Inc.",755747,165352,6776,2405,0.781207202939608
6,"ExpressJet Airlines Inc.",559630,141029,16917,2505,0.747995997355396
6,"SkyWest Airlines Inc.",641336,119653,11486,1443,0.813431648932853
6,"Southwest Airlines Co.",1270459,296181,9369,3496,0.766870871078878
6,"United Air Lines Inc.",527832,141818,8853,2000,0.731319813880174
7,"American Airlines Inc.",724715,181266,10706,3135,0.749879607845843
7,"Delta Air Lines Inc.",782552,171798,8774,2726,0.780464429200871
7,"ExpressJet Airlines Inc.",577953,144712,16909,2365,0.749612857792935
7,"SkyWest Airlines Inc.",664712,122203,10937,1404,0.816156470772304
7,"Southwest Airlines Co.",1307548,290395,10526,3291,0.777908726868918
7,"United Air Lines Inc.",543960,132695,9385,1916,0.756057430693433
8,"American Airlines Inc.",719699,163998,12121,2717,0.772129737570846
8,"Delta Air Lines Inc.",783761,146919,9572,2054,0.812546171600781
8,"ExpressJet Airlines Inc.",573823,119504,12354,1935,0.791740658704862
8,"SkyWest Airlines Inc.",668219,116370,9039,1332,0.825850507094231
8,"Southwest Airlines Co.",1282514,248254,9235,3061,0.806431742655441
8,"United Air Lines Inc.",543641,116034,7386,1519,0.786561352068737
9,"American Airlines Inc.",664020,115813,8679,1725,0.825588084696244
9,"Delta Air Lines Inc.",713811,98505,7727,1206,0.862001286054712
9,"ExpressJet Airlines Inc.",504839,79920,9849,1208,0.841692103819237
9,"SkyWest Airlines Inc.",608425,84105,7150,1036,0.861766035254962
9,"Southwest Airlines Co.",1206513,168888,11043,1865,0.860019742845705
9,"United Air Lines Inc.",494861,77892,4613,846,0.842598224551945
10,"American Airlines Inc.",688376,123969,7336,1478,0.819910920775855
10,"Delta Air Lines Inc.",747350,105866,5990,800,0.858344818358199
10,"ExpressJet Airlines Inc.",530550,98911,9183,1380,0.813568937894638
10,"SkyWest Airlines Inc.",628371,97547,8954,962,0.844762091184985
10,"Southwest Airlines Co.",1259242,210806,8993,1510,0.83259294083266
10,"United Air Lines Inc.",518804,87715,6208,772,0.830928443111464
11,"American Airlines Inc.",657813,113333,5393,1217,0.827712434992923
11,"Delta Air Lines Inc.",709408,101614,3226,832,0.856762258108169
11,"ExpressJet Airlines Inc.",493946,87890,6398,1151,0.822065569920599
11,"SkyWest Airlines Inc.",592231,94060,10109,1316,0.841176838091893
11,"Southwest Airlines Co.",1210582,180669,7162,1632,0.850758560758379
11,"United Air Lines Inc.",481911,74252,3781,655,0.845921757336936
12,"American Airlines Inc.",614413,152412,14558,1583,0.751938842439857
12,"Delta Air Lines Inc.",628063,122691,8430,1095,0.804651762641646
12,"ExpressJet Airlines Inc.",474438,124770,16207,1604,0.737015163203622
12,"SkyWest Airlines Inc.",571358,153264,22861,2012,0.731754871726658
12,"Southwest Airlines Co.",1143124,292587,14929,2668,0.744046140226257
12,"United Air Lines Inc.",448552,110579,10616,866,0.753475628243771
